id,state,regular,mid_grade,premium,diesel
1,Alabama,1.89,2.23,2.55,2.27
2,Alaska,2.49,2.63,2.8,2.5
3,Arizona,2.22,2.5,2.75,2.43
4,Arkansas,1.86,2.15,2.45,2.19
5,California,3.19,3.37,3.49,3.38
6,Colorado,2.19,2.5,2.79,2.26
7,Connecticut,2.16,2.51,2.73,2.65
8,Delaware,2.36,2.73,2.93,2.49
9,District of Columbia,2.33,2.81,2.95,2.78
10,Florida,2.15,2.49,2.78,2.37
11,Georgia,1.98,2.32,2.62,2.42
12,Hawaii,3.27,3.45,3.68,4.07
13,Idaho,2.29,2.45,2.64,2.66
14,Illinois,2.25,2.59,2.99,2.45
15,Indiana,2.06,2.35,2.67,2.49
16,Iowa,2.01,2.16,2.55,2.27
17,Kansas,1.91,2.16,2.39,2.19
18,Kentucky,2.01,2.3,2.6,2.27
19,Louisiana,1.87,2.2,2.5,2.22
20,Maine,2.16,2.48,2.74,2.49
21,Maryland,2.33,2.76,2.98,2.62
22,Massachusetts,2.1,2.45,2.66,2.53
23,Michigan,2.06,2.34,2.67,2.4
24,Minnesota,1.97,2.21,2.51,2.36
25,Mississippi,1.83,2.14,2.47,2.1
26,Missouri,1.8,2.05,2.31,2.05
27,Montana,2.23,2.49,2.75,2.38
28,Nebraska,2.09,2.2,2.52,2.26
29,Nevada,2.59,2.81,2.98,2.64
30,New Hampshire,2.06,2.44,2.7,2.44
31,New Jersey,2.29,2.67,2.84,2.56
32,New Mexico,2.01,2.32,2.58,2.32
33,New York,2.25,2.57,2.8,2.77
34,North Carolina,2.0,2.34,2.67,2.35
35,North Dakota,2.01,2.22,2.43,2.35
36,Ohio,2.06,2.35,2.68,2.42
37,Oklahoma,1.85,2.09,2.31,2.07
38,Oregon,2.59,2.78,2.96,2.73
39,Pennsylvania,2.54,2.86,3.12,2.79
40,Rhode Island,2.11,2.51,2.73,2.57
41,South Carolina,1.91,2.25,2.57,2.19
42,South Dakota,2.11,2.21,2.56,2.3
43,Tennessee,1.9,2.23,2.56,2.31
44,Texas,1.84,2.16,2.44,2.06
45,Utah,2.28,2.45,2.61,2.67
46,Vermont,2.14,2.46,2.75,2.49
47,Virginia,2.08,2.47,2.76,2.36
48,Washington,2.76,2.97,3.13,2.84
49,West Virginia,2.16,2.45,2.74,2.44
50,Wisconsin,1.91,2.25,2.63,2.25
,Wyoming,2.2,2.42,2.66,2.47
